,"消費者物價基本分類暨項目群指數",
,,,,,,,,"指數基期：民國110年=100"
"統計期","總指數","一.食物類","二.衣著類","三.居住類","四.交通及通訊類","五.醫藥保健類","六.教養娛樂類","七.雜項類"
"89年",81.92,63.42,88.43,93.24,94.18,71.41,96.06,72.64
"89年1月",80.91,62.83,85.95,92.60,92.75,71.33,94.24,70.86
"89年2月",82.11,63.24,81.91,93.32,92.99,71.35,95.31,80.39
"89年3月",80.70,62.35,80.54,92.71,93.45,71.38,94.51,71.68
"89年4月",81.37,62.00,95.68,92.89,93.93,71.36,94.55,71.94
"89年5月",81.88,63.32,94.13,92.91,94.03,71.39,94.64,72.50
"89年6月",81.77,62.40,91.97,93.78,94.19,71.41,95.04,73.06
"89年7月",81.32,62.17,85.07,93.69,94.38,71.44,95.67,71.65
"89年8月",81.57,63.52,81.21,93.74,94.08,71.43,95.66,71.21
"89年9月",82.71,65.10,79.92,94.08,94.58,71.46,98.37,73.01
"89年10月",82.73,64.13,94.95,93.17,95.14,71.51,98.33,71.78
"89年11月",83.50,66.19,96.46,93.03,95.19,71.47,98.15,71.79
"89年12月",82.50,63.76,93.40,93.00,95.44,71.40,98.21,71.83
"90年",81.92,62.85,86.91,92.76,95.22,72.30,98.10,72.82
"90年1月",82.82,62.50,83.89,93.57,96.80,71.42,98.88,80.61
"90年2月",81.27,61.62,79.88,92.88,96.85,71.43,98.27,72.08
"90年3月",81.05,61.05,79.88,92.79,96.83,71.45,97.95,72.60
"90年4月",81.72,61.58,93.84,92.58,95.49,71.66,97.89,72.96
"90年5月",81.70,61.66,93.35,92.54,95.33,71.62,97.75,73.17
"90年6月",81.65,61.58,88.82,93.24,95.37,72.12,97.95,72.67
"90年7月",81.40,61.75,83.42,93.15,94.95,73.08,98.37,71.79
"90年8月",81.94,63.83,79.79,93.07,94.89,73.06,98.19,71.67
"90年9月",82.29,65.12,78.25,93.02,94.65,72.97,98.18,71.61
"90年10月",83.54,67.20,92.49,92.29,94.50,72.95,98.22,72.17
"90年11月",82.55,64.64,96.34,92.04,94.10,72.99,97.79,71.38
"90年12月",81.11,61.65,93.02,91.89,92.89,72.83,97.74,71.07
"91年",81.76,62.74,87.39,91.65,93.11,73.24,98.20,76.04
"91年1月",81.43,62.46,84.56,91.74,92.80,72.76,98.40,75.08
"91年2月",82.42,62.80,79.79,92.30,93.24,72.84,98.64,84.24
"91年3月",81.06,62.39,78.89,91.49,92.97,71.91,98.14,75.35
"91年4月",81.89,62.54,94.40,91.44,93.37,71.98,98.15,75.76
"91年5月",81.49,61.68,92.79,91.38,93.40,71.93,98.05,75.92
"91年6月",81.74,62.10,90.38,92.17,92.51,71.90,98.20,76.70
"91年7月",81.75,63.27,84.40,92.07,92.45,71.83,98.65,74.89
"91年8月",81.72,63.82,80.52,92.01,92.67,71.87,98.40,74.63
"91年9月",81.66,63.01,79.03,92.08,93.06,75.48,98.15,75.88
"91年10月",82.12,63.13,95.05,91.16,93.50,75.55,98.16,74.64
"91年11月",82.09,63.10,95.71,91.03,93.79,75.38,97.79,74.71
"91年12月",81.74,62.57,93.15,90.94,93.61,75.46,97.72,74.73
"92年",81.53,62.69,88.42,90.76,93.71,75.59,96.93,75.66
"92年1月",82.31,63.56,84.63,91.00,94.18,75.38,97.71,80.46
"92年2月",81.17,62.03,81.26,90.90,94.08,75.67,97.60,75.53
"92年3月",80.91,61.16,80.89,90.83,94.92,75.59,97.61,75.32
"92年4月",81.79,62.09,98.14,90.80,93.71,75.56,97.24,75.97
"92年5月",81.75,62.79,95.79,90.61,93.36,75.68,96.15,76.35
"92年6月",81.28,62.06,90.62,91.11,93.12,75.54,95.77,75.75
"92年7月",80.94,61.86,84.38,91.05,93.29,75.39,96.30,74.72
"92年8月",81.24,62.79,81.39,90.98,93.91,75.52,96.72,74.62
"92年9月",81.49,63.23,80.85,91.00,93.86,75.64,97.05,75.45
"92年10月",82.07,64.22,94.25,90.37,93.46,75.67,97.12,74.39
"92年11月",81.71,63.13,95.73,90.29,93.32,75.67,96.96,74.48
"92年12月",81.69,63.36,93.09,90.23,93.33,75.78,96.88,74.87
"93年",82.84,65.34,91.20,90.57,95.70,77.06,97.04,76.46
"93年1月",82.32,62.72,87.21,90.61,94.39,75.74,97.46,83.52
"93年2月",81.69,63.61,83.79,90.25,94.97,76.63,96.73,75.88
"93年3月",81.63,63.69,82.69,90.25,94.91,76.69,96.48,75.94
"93年4月",82.57,63.98,100.17,90.28,95.64,76.85,96.79,75.95
"93年5月",82.49,63.72,97.69,90.25,95.73,77.06,96.85,76.90
"93年6月",82.69,63.85,94.36,90.87,95.72,77.38,97.09,77.75
"93年7月",83.63,67.72,88.83,90.85,95.88,77.25,97.41,75.81
"93年8月",83.31,67.25,85.56,90.89,96.00,77.39,97.34,75.07
"93年9月",83.76,68.41,84.90,90.93,96.10,77.36,97.21,75.99
"93年10月",84.03,68.35,97.12,90.50,96.39,77.30,97.10,75.01
"93年11月",82.95,65.27,97.38,90.55,96.35,77.35,96.85,74.72
"93年12月",83.01,65.47,94.74,90.62,96.34,77.69,97.13,74.95
"94年",84.75,70.07,91.08,90.94,96.95,80.54,96.82,76.27
"94年1月",82.72,65.20,89.34,90.54,96.23,77.59,97.50,75.18
"94年2月",83.27,65.09,85.43,90.88,96.50,77.84,97.41,81.85
"94年3月",83.51,68.02,84.67,90.61,96.89,78.43,96.62,75.34
"94年4月",83.93,67.54,98.30,90.60,96.91,78.88,96.52,75.58
"94年5月",84.39,68.83,98.76,90.69,96.76,78.90,96.29,76.02
"94年6月",84.66,69.19,94.97,91.27,96.46,80.01,96.42,77.22
"94年7月",85.65,72.85,88.59,91.28,96.96,81.17,96.73,75.66
"94年8月",86.28,74.72,84.83,91.36,98.16,82.53,96.67,75.39
"94年9月",86.41,74.76,83.83,91.37,98.28,82.54,96.89,76.39
"94年10月",86.34,74.16,95.23,90.85,97.17,82.82,96.98,75.44
"94年11月",85.03,70.39,96.24,90.90,96.61,82.78,96.88,75.35
"94年12月",84.84,70.14,92.77,90.92,96.52,82.98,96.87,75.81
"95年",85.26,69.63,87.82,91.74,98.65,83.51,96.98,79.14
"95年1月",84.94,69.01,86.03,91.12,96.68,83.06,97.15,82.65
"95年2月",84.09,68.20,81.76,91.12,97.35,83.16,97.24,77.46
"95年3月",83.86,67.46,80.40,91.16,97.37,83.22,96.88,78.56
"95年4月",84.96,68.64,94.40,91.17,97.77,83.44,96.84,79.48
"95年5月",85.73,70.21,93.29,91.25,99.07,83.46,96.84,80.95
"95年6月",86.13,71.55,90.20,91.88,99.08,83.55,97.04,79.41
"95年7月",86.32,72.09,86.27,92.23,100.10,83.51,97.20,78.81
"95年8月",85.80,70.96,82.24,92.42,100.34,83.48,97.24,78.25
"95年9月",85.33,69.93,80.46,92.63,99.71,83.55,96.83,78.51
"95年10月",85.31,69.36,91.16,91.92,98.74,83.88,96.86,78.65
"95年11月",85.24,68.84,95.16,91.92,98.36,83.89,96.83,78.39
