observation_date,DEXTAUS
2000-01-03,31.3800
2000-01-04,30.6000
2000-01-05,30.8000
2000-01-06,31.7500
2000-01-07,30.8500
2000-01-10,30.8300
2000-01-11,30.8300
2000-01-12,30.8000
2000-01-13,30.8000
2000-01-14,30.8300
2000-01-17,
2000-01-18,30.8900
2000-01-19,30.8500
2000-01-20,30.8500
2000-01-21,30.8500
2000-01-24,30.8500
2000-01-25,30.8500
2000-01-26,30.8500
2000-01-27,30.8300
2000-01-28,30.7500
2000-01-31,30.7500
2000-02-01,31.7500
2000-02-02,30.8000
2000-02-03,30.8000
2000-02-04,30.8000
2000-02-07,30.8000
2000-02-08,30.7500
2000-02-09,30.6500
2000-02-10,30.6500
2000-02-11,30.6300
2000-02-14,30.7200
2000-02-15,30.7500
2000-02-16,30.7200
2000-02-17,30.7200
2000-02-18,30.7650
2000-02-21,
2000-02-22,30.8000
2000-02-23,30.8000
2000-02-24,30.8500
2000-02-25,30.8000
2000-02-28,30.8000
2000-02-29,30.7600
2000-03-01,30.7500
2000-03-02,30.7500
2000-03-03,30.7500
2000-03-06,30.8000
2000-03-07,30.7500
2000-03-08,30.7600
2000-03-09,30.7500
2000-03-10,30.7500
2000-03-13,30.7500
2000-03-14,30.7400
2000-03-15,30.7500
2000-03-16,30.8150
2000-03-17,30.7400
2000-03-20,30.7500
2000-03-21,30.7800
2000-03-22,30.7500
2000-03-23,30.7500
2000-03-24,30.7000
2000-03-27,30.6500
2000-03-28,30.6400
2000-03-29,30.6000
2000-03-30,30.6000
2000-03-31,30.4800
2000-04-03,30.5000
2000-04-04,30.4500
2000-04-05,30.5000
2000-04-06,30.4800
2000-04-07,30.5000
2000-04-10,30.3500
2000-04-11,30.3500
2000-04-12,30.3500
2000-04-13,30.3500
2000-04-14,30.4500
2000-04-17,30.5500
2000-04-18,30.6000
2000-04-19,30.6200
2000-04-20,30.5500
2000-04-21,30.5850
2000-04-24,30.6000
2000-04-25,30.6500
2000-04-26,30.6500
2000-04-27,30.6500
2000-04-28,30.6700
2000-05-01,30.6500
2000-05-02,30.6800
2000-05-03,30.7500
2000-05-04,30.7200
2000-05-05,30.6800
2000-05-08,30.7000
2000-05-09,30.6500
2000-05-10,30.7300
2000-05-11,30.7600
2000-05-12,30.7500
2000-05-15,30.8300
2000-05-16,30.8400
2000-05-17,30.7500
2000-05-18,30.8200
2000-05-19,30.7900
2000-05-22,30.7500
2000-05-23,30.8000
2000-05-24,30.8200
2000-05-25,30.8500
2000-05-26,30.8500
2000-05-29,
2000-05-30,30.9600
2000-05-31,30.8500
2000-06-01,30.9000
2000-06-02,30.8500
2000-06-05,30.8300
2000-06-06,30.8300
2000-06-07,30.8000
2000-06-08,30.8000
2000-06-09,30.8000
2000-06-12,30.8000
2000-06-13,30.8000
2000-06-14,30.8000
2000-06-15,30.8500
2000-06-16,30.9000
2000-06-19,30.9000
2000-06-20,30.9000
2000-06-21,30.8300
2000-06-22,30.8000
2000-06-23,30.8000
2000-06-26,30.8100
2000-06-27,30.8200
2000-06-28,30.8200
2000-06-29,30.8300
2000-06-30,30.8000
2000-07-03,30.8300
2000-07-04,
2000-07-05,30.8500
2000-07-06,30.8800
2000-07-07,30.8800
2000-07-10,30.9000
2000-07-11,30.9000
2000-07-12,30.9000
2000-07-13,30.9000
2000-07-14,30.9000
2000-07-17,30.9600
2000-07-18,31.0000
2000-07-19,31.0800
2000-07-20,31.1300
2000-07-21,31.0800
2000-07-24,31.0950
2000-07-25,31.1000
2000-07-26,31.0800
2000-07-27,31.0800
2000-07-28,31.0700
2000-07-31,31.0600
2000-08-01,31.1500
2000-08-02,31.1000
2000-08-03,31.1500
2000-08-04,31.1200
2000-08-07,31.1500
2000-08-08,31.1000
2000-08-09,31.1000
2000-08-10,31.1000
2000-08-11,31.1100
2000-08-14,31.1000
2000-08-15,31.1300
2000-08-16,31.1300
2000-08-17,31.1000
2000-08-18,31.1100
2000-08-21,31.1000
2000-08-22,31.0800
2000-08-23,31.0800
2000-08-24,31.0700
2000-08-25,31.1000
2000-08-28,31.0800
2000-08-29,31.0900
2000-08-30,31.0900
2000-08-31,31.1000
2000-09-01,31.1000
2000-09-04,
2000-09-05,31.0800
2000-09-06,31.1000
2000-09-07,31.1000
2000-09-08,31.1000
2000-09-11,31.1200
2000-09-12,31.1100
2000-09-13,31.1200
2000-09-14,31.1300
2000-09-15,31.1700
2000-09-18,31.2900
2000-09-19,31.2800
2000-09-20,31.2900
2000-09-21,31.2800
2000-09-22,31.2100
2000-09-25,31.2900
2000-09-26,31.2800
2000-09-27,31.2900
2000-09-28,31.2900
