ym,year,month,us_cpi,observation_date,date
2000m1,2000,1,168.8,2000-01-01,01jan2000
2000m2,2000,2,169.8,2000-02-01,01feb2000
2000m3,2000,3,171.2,2000-03-01,01mar2000
2000m4,2000,4,171.3,2000-04-01,01apr2000
2000m5,2000,5,171.5,2000-05-01,01may2000
2000m6,2000,6,172.39999,2000-06-01,01jun2000
2000m7,2000,7,172.8,2000-07-01,01jul2000
2000m8,2000,8,172.8,2000-08-01,01aug2000
2000m9,2000,9,173.7,2000-09-01,01sep2000
2000m10,2000,10,174,2000-10-01,01oct2000
2000m11,2000,11,174.10001,2000-11-01,01nov2000
2000m12,2000,12,174,2000-12-01,01dec2000
2001m1,2001,1,175.10001,2001-01-01,01jan2001
2001m2,2001,2,175.8,2001-02-01,01feb2001
2001m3,2001,3,176.2,2001-03-01,01mar2001
2001m4,2001,4,176.89999,2001-04-01,01apr2001
2001m5,2001,5,177.7,2001-05-01,01may2001
2001m6,2001,6,178,2001-06-01,01jun2001
2001m7,2001,7,177.5,2001-07-01,01jul2001
2001m8,2001,8,177.5,2001-08-01,01aug2001
2001m9,2001,9,178.3,2001-09-01,01sep2001
2001m10,2001,10,177.7,2001-10-01,01oct2001
2001m11,2001,11,177.39999,2001-11-01,01nov2001
2001m12,2001,12,176.7,2001-12-01,01dec2001
2002m1,2002,1,177.10001,2002-01-01,01jan2002
2002m2,2002,2,177.8,2002-02-01,01feb2002
2002m3,2002,3,178.8,2002-03-01,01mar2002
2002m4,2002,4,179.8,2002-04-01,01apr2002
2002m5,2002,5,179.8,2002-05-01,01may2002
2002m6,2002,6,179.89999,2002-06-01,01jun2002
2002m7,2002,7,180.10001,2002-07-01,01jul2002
2002m8,2002,8,180.7,2002-08-01,01aug2002
2002m9,2002,9,181,2002-09-01,01sep2002
2002m10,2002,10,181.3,2002-10-01,01oct2002
2002m11,2002,11,181.3,2002-11-01,01nov2002
2002m12,2002,12,180.89999,2002-12-01,01dec2002
2003m1,2003,1,181.7,2003-01-01,01jan2003
2003m2,2003,2,183.10001,2003-02-01,01feb2003
2003m3,2003,3,184.2,2003-03-01,01mar2003
2003m4,2003,4,183.8,2003-04-01,01apr2003
2003m5,2003,5,183.5,2003-05-01,01may2003
2003m6,2003,6,183.7,2003-06-01,01jun2003
2003m7,2003,7,183.89999,2003-07-01,01jul2003
2003m8,2003,8,184.60001,2003-08-01,01aug2003
2003m9,2003,9,185.2,2003-09-01,01sep2003
2003m10,2003,10,185,2003-10-01,01oct2003
2003m11,2003,11,184.5,2003-11-01,01nov2003
2003m12,2003,12,184.3,2003-12-01,01dec2003
2004m1,2004,1,185.2,2004-01-01,01jan2004
2004m2,2004,2,186.2,2004-02-01,01feb2004
2004m3,2004,3,187.39999,2004-03-01,01mar2004
2004m4,2004,4,188,2004-04-01,01apr2004
2004m5,2004,5,189.10001,2004-05-01,01may2004
2004m6,2004,6,189.7,2004-06-01,01jun2004
2004m7,2004,7,189.39999,2004-07-01,01jul2004
2004m8,2004,8,189.5,2004-08-01,01aug2004
2004m9,2004,9,189.89999,2004-09-01,01sep2004
2004m10,2004,10,190.89999,2004-10-01,01oct2004
2004m11,2004,11,191,2004-11-01,01nov2004
2004m12,2004,12,190.3,2004-12-01,01dec2004
2005m1,2005,1,190.7,2005-01-01,01jan2005
2005m2,2005,2,191.8,2005-02-01,01feb2005
2005m3,2005,3,193.3,2005-03-01,01mar2005
2005m4,2005,4,194.60001,2005-04-01,01apr2005
2005m5,2005,5,194.39999,2005-05-01,01may2005
2005m6,2005,6,194.5,2005-06-01,01jun2005
2005m7,2005,7,195.39999,2005-07-01,01jul2005
2005m8,2005,8,196.39999,2005-08-01,01aug2005
2005m9,2005,9,198.8,2005-09-01,01sep2005
2005m10,2005,10,199.2,2005-10-01,01oct2005
2005m11,2005,11,197.60001,2005-11-01,01nov2005
2005m12,2005,12,196.8,2005-12-01,01dec2005
2006m1,2006,1,198.3,2006-01-01,01jan2006
2006m2,2006,2,198.7,2006-02-01,01feb2006
2006m3,2006,3,199.8,2006-03-01,01mar2006
2006m4,2006,4,201.5,2006-04-01,01apr2006
2006m5,2006,5,202.5,2006-05-01,01may2006
2006m6,2006,6,202.89999,2006-06-01,01jun2006
2006m7,2006,7,203.5,2006-07-01,01jul2006
2006m8,2006,8,203.89999,2006-08-01,01aug2006
2006m9,2006,9,202.89999,2006-09-01,01sep2006
2006m10,2006,10,201.8,2006-10-01,01oct2006
2006m11,2006,11,201.5,2006-11-01,01nov2006
2006m12,2006,12,201.8,2006-12-01,01dec2006
2007m1,2007,1,202.416,2007-01-01,01jan2007
2007m2,2007,2,203.49899,2007-02-01,01feb2007
2007m3,2007,3,205.35201,2007-03-01,01mar2007
2007m4,2007,4,206.686,2007-04-01,01apr2007
2007m5,2007,5,207.94901,2007-05-01,01may2007
2007m6,2007,6,208.35201,2007-06-01,01jun2007
2007m7,2007,7,208.299,2007-07-01,01jul2007
2007m8,2007,8,207.91701,2007-08-01,01aug2007
2007m9,2007,9,208.49001,2007-09-01,01sep2007
2007m10,2007,10,208.936,2007-10-01,01oct2007
2007m11,2007,11,210.177,2007-11-01,01nov2007
2007m12,2007,12,210.036,2007-12-01,01dec2007
2008m1,2008,1,211.08,2008-01-01,01jan2008
2008m2,2008,2,211.69299,2008-02-01,01feb2008
2008m3,2008,3,213.528,2008-03-01,01mar2008
2008m4,2008,4,214.823,2008-04-01,01apr2008
2008m5,2008,5,216.632,2008-05-01,01may2008
2008m6,2008,6,218.815,2008-06-01,01jun2008
2008m7,2008,7,219.964,2008-07-01,01jul2008
2008m8,2008,8,219.086,2008-08-01,01aug2008
2008m9,2008,9,218.783,2008-09-01,01sep2008
2008m10,2008,10,216.573,2008-10-01,01oct2008
2008m11,2008,11,212.425,2008-11-01,01nov2008
2008m12,2008,12,210.228,2008-12-01,01dec2008
2009m1,2009,1,211.14301,2009-01-01,01jan2009
2009m2,2009,2,212.19299,2009-02-01,01feb2009
2009m3,2009,3,212.709,2009-03-01,01mar2009
2009m4,2009,4,213.24001,2009-04-01,01apr2009
2009m5,2009,5,213.856,2009-05-01,01may2009
2009m6,2009,6,215.69299,2009-06-01,01jun2009
2009m7,2009,7,215.351,2009-07-01,01jul2009
2009m8,2009,8,215.834,2009-08-01,01aug2009
2009m9,2009,9,215.96899,2009-09-01,01sep2009
2009m10,2009,10,216.177,2009-10-01,01oct2009
2009m11,2009,11,216.33,2009-11-01,01nov2009
2009m12,2009,12,215.94901,2009-12-01,01dec2009
2010m1,2010,1,216.687,2010-01-01,01jan2010
2010m2,2010,2,216.741,2010-02-01,01feb2010
2010m3,2010,3,217.631,2010-03-01,01mar2010
2010m4,2010,4,218.009,2010-04-01,01apr2010
2010m5,2010,5,218.17799,2010-05-01,01may2010
2010m6,2010,6,217.965,2010-06-01,01jun2010
2010m7,2010,7,218.011,2010-07-01,01jul2010
2010m8,2010,8,218.312,2010-08-01,01aug2010
