ym,year,month,tai_cpi,us_cpi,observation_date,date,fx_twdusd,ln_fx,ln_tw_cpi,ln_us_cpi,q
2000m1,2000,1,80.91,168.8,2000-01-01,01jan2000,30.8895,3.4304163,4.3933372,5.1287146,4.1657934
2000m2,2000,2,82.11,169.8,2000-02-01,01feb2000,30.80575,3.4277015,4.4080596,5.1346211,4.154263
2000m3,2000,3,80.7,171.2,2000-03-01,01mar2000,30.719782,3.4249067,4.3907385,5.1428323,4.1770005
2000m4,2000,4,81.37,171.3,2000-04-01,01apr2000,30.52025,3.4183905,4.3990068,5.1434164,4.1627998
2000m5,2000,5,81.88,171.5,2000-05-01,01may2000,30.771818,3.4265993,4.4052548,5.1445832,4.1659279
2000m6,2000,6,81.77,172.39999,2000-06-01,01jun2000,30.830454,3.428503,4.4039106,5.1498175,4.1744099
2000m7,2000,7,81.31999999999999,172.8,2000-07-01,01jul2000,30.983749,3.4334629,4.3983922,5.1521349,4.1872053
2000m8,2000,8,81.56999999999999,172.8,2000-08-01,01aug2000,31.106087,3.4374034,4.4014616,5.1521349,4.188077
2000m9,2000,9,82.70999999999999,173.7,2000-09-01,01sep2000,31.197701,3.4403443,4.4153404,5.1573296,4.1823335
2000m10,2000,10,82.73,174,2000-10-01,01oct2000,31.845715,3.4609029,4.4155822,5.1590552,4.2043762
2000m11,2000,11,83.5,174.10001,2000-11-01,01nov2000,32.433334,3.4791868,4.4248466,5.1596298,4.2139702
2000m12,2000,12,82.5,174,2000-12-01,01dec2000,33.123001,3.5002279,4.4127984,5.1590552,4.2464848
2001m1,2001,1,82.81999999999999,175.10001,2001-01-01,01jan2001,32.673096,3.486552,4.4166694,5.1653571,4.23524
2001m2,2001,2,81.27,175.8,2001-02-01,01feb2001,32.330002,3.4759955,4.3977771,5.1693468,4.2475653
2001m3,2001,3,81.05,176.2,2001-03-01,01mar2001,32.62159,3.4849744,4.3950663,5.1716199,4.261528
2001m4,2001,4,81.72,176.89999,2001-04-01,01apr2001,32.940475,3.4947021,4.4032989,5.1755848,4.2669878
2001m5,2001,5,81.7,177.7,2001-05-01,01may2001,33.203182,3.5026457,4.4030542,5.1800966,4.2796879
2001m6,2001,6,81.65000000000001,178,2001-06-01,01jun2001,34.327999,3.5359614,4.402442,5.1817837,4.3153028
